"ppn" "nt" "X" "Y1" "Y2"
1 1 1 2.6931407929972 2.37209051566243
1 2 1 3.57201604057505 2.59673634256432
1 3 1 3.02883039575092 3.13772531867645
1 4 1 2.46446735658214 3.01809877579264
1 5 1 4.25433803013282 1.93304300463153
1 6 1 3.25177292233133 2.11823649244014
1 7 1 3.04944401503712 2.74873712604571
1 8 1 2.8200862580665 2.66263144342365
1 9 1 3.5327110790048 1.55970811638406
1 10 1 2.08998814805804 1.16229052594513
1 11 1 5.32858751625081 1.27696374703267
1 12 1 4.09074675690568 2.72775541415319
1 13 1 3.58571998612014 2.41409295486708
1 14 1 4.56714816773947 2.37189240165461
1 15 1 4.9869690100171 1.96511030402963
1 16 1 4.37638500397386 1.46938637355958
1 17 1 3.38661184143121 0.188037093942512
1 18 1 2.53940400101227 0.879448076329275
1 19 1 2.28758170748597 0.371299096928932
1 20 1 3.63097916072005 0.555192194006186
1 21 1 3.27253214941154 1.56181666433691
1 22 1 2.00046165836405 1.64818138518463
1 23 1 4.20065395881369 1.24620342027624
1 24 1 2.07247598194354 2.41051499232721
1 25 1 3.53969740436405 1.59992926959003
1 26 1 3.0776534875502 0.193740830726154
1 27 1 2.48438442544291 1.630675666263
1 28 1 3.33253170911903 1.37554529387652
1 29 1 1.68135093376635 2.23919607610013
1 30 1 2.67507634038377 3.7697895792289
1 31 1 3.33920478532523 3.51389467528743
1 32 1 3.1215960111154 2.25462328523164
1 33 1 2.12515110228046 3.00494453294191
1 34 1 2.40988538485064 1.77728875089486
1 35 1 3.26094481642775 1.57050283228322
1 36 1 2.01998892120758 1.79715026270279
1 37 1 2.20563327351387 1.71178947721434
1 38 1 1.31496079289818 0.301332219776121
1 39 1 1.17660384477306 -0.132039689070492
1 40 1 1.69301994425644 0.0469376731811344
1 41 1 2.13573285745178 2.68748900970545
1 42 1 2.08209630894936 3.04688430719831
1 43 1 3.07611716115113 3.7219441545198
1 44 1 3.78342869694044 -0.322774973619103
1 45 1 3.70410719380115 1.38495089745598
1 46 1 3.02123501863174 3.48514691116934
1 47 1 4.89395391131431 2.92649287342785
1 48 1 4.36210946795893 2.60179132703542
1 49 1 6.75355696695564 0.321017556833481
1 50 1 3.35573301812079 1.98965310627275
1 51 1 4.30835358951352 1.26343655880035
